E1A,16187395062631865203
E1B,13120625933479759155
E1C,15948414011368472608
E1D,14124983428226101830
E2A,1771514397342217438
E2B,6076092749993654608
E2C,15313855146021330327
E2D,10289879541339910293
E3A,14773378460181349989
E3B,2425061219206231985
E3C,7359345627938921480
E3D,7917075323933499956
E4A,17780921233404591236
E4B,17126308270598206232
E4C,1618818942137732069
E4D,16697825107420850504
E5A,9680635804544613402
E5B,7527221529713903512
E5D,1586423359616418068
EW1,1913785979572056813
EW2,10460411102723888029
EW3,5821632888832610450
EW4,13025558342121353537
EW,17442594334698148588
ES,7104030416608882486
S0,17581014612698057843
S2,17239082986737058358
S3,7384191858255182664
S4,4689422146077614881
S5,16944685018160249092
SR3,11608448457691596409
VB4,319764910658690444
GB4,18110498312144631466
WB3,14645414240176233377
WB4,12990306818146728773
HB2,12063359747934160096
HB3,4351730933328737725
ZB1,6824479085646149668
ZB2,5746134676441980487
ZB3,9327002878072470169
OZB,5275848306217261229
GF4,13258482372049517931
HF3,9029177128127028843
ZF1,16861605116497587793
ZF2,11870264009128042607
ZF3,9147430649489196853
WF3,3674164268203714920
WF4,4832315539073189600
VF4,15861734701366737418
VF5,9162029272604361364
OZF,5867817043811061060
ZN1,7503304700213467474
ZN2,6677290447696069048
ZN3,5247252996038949983
ZN4,11040101319605198355
ZN5,8834221362862646666
GY1,10219621636280767162
GY2,973666813933607255
GY3,11677047939510858569
GY4,10233866039001599810
GY5,11402164741645385026
HY1,8781391051832926762
HY2,5977289079072550961
HY3,2731520845163624126
HY4,13166224857278269733
VY1,7568167489157624479
VY2,6423067770565185335
VY4,8627731721032179582
VY5,16946361874301371325
WY1,15485056224316496729
WY2,18205837538699143575
WY3,11287516297222308648
WY4,13068009468649786742
WY5,9791504156853017906
OZN,1658607541565438498
VT4,2911595663026394373
ZT1,788374147387490612
ZT2,14758105168903657252
ZT3,11050099382233110634
WT3,13294221796299925854
WT4,5264161813764315789
HT2,14166494187906993500
HT3,7519490073866339999
OZT,260619958463332049
ES-F,16832263018975006242
SR3-F,12049546238623417960
ZB-F,6868633461772889602
ZF-F,1034734953884863569
ZN-F,16143309052651006928
ZT-F,8844794837358838491
ZQ-F,8594138358590911504
MES-F,2764111295701119094
